time,wx (rad/s),wy (rad/s),wz (rad/s)
2.463218,0.06,-0.09,-0.03
2.474047,0.25,-0.02,-0.06
2.483932,0.38,0.00,-0.05
2.493714,0.48,-0.05,-0.05
2.505273,0.53,-0.15,-0.04
2.514506,0.55,-0.23,-0.04
2.524597,0.53,-0.25,-0.04
2.535642,0.47,-0.26,-0.04
2.544858,0.36,-0.29,-0.04
2.555325,0.23,-0.34,-0.03
2.566116,0.11,-0.38,-0.04
2.575927,0.01,-0.36,-0.05
2.585916,-0.07,-0.30,-0.07
2.596333,-0.07,-0.20,-0.06
2.606620,-0.13,-0.12,-0.11
2.616906,-0.16,-0.07,-0.13
2.627687,-0.15,0.02,-0.17
2.637592,-0.15,0.06,-0.20
2.647797,-0.14,0.16,-0.24
2.657449,-0.15,0.29,-0.34
2.668536,-0.11,0.30,-0.32
2.678620,-0.07,0.23,-0.24
2.688729,-0.04,0.24,-0.28
2.699120,0.00,0.28,-0.39
2.709729,0.06,0.21,-0.36
2.719432,0.12,0.15,-0.35
2.729745,0.17,0.11,-0.35
2.739983,0.22,0.07,-0.35
2.755174,0.26,0.02,-0.36
2.760187,0.30,-0.04,-0.36
2.770917,0.32,-0.12,-0.36
2.781284,0.32,-0.20,-0.36
2.791417,0.29,-0.29,-0.35
2.801793,0.23,-0.37,-0.34
2.812261,0.15,-0.44,-0.32
2.822225,0.08,-0.51,-0.30
2.833731,0.04,-0.58,-0.29
2.842670,0.03,-0.63,-0.29
2.852907,0.05,-0.66,-0.29
2.863341,0.07,-0.68,-0.28
2.873210,0.09,-0.69,-0.28
2.887111,0.07,-0.70,-0.27
2.893237,0.03,-0.74,-0.25
2.903950,-0.02,-0.81,-0.21
2.913733,-0.05,-0.90,-0.17
2.924427,-0.07,-1.00,-0.12
2.934657,-0.06,-1.11,-0.06
2.945055,-0.04,-1.24,0.00
2.955977,-0.05,-1.43,0.05
2.966417,-0.07,-1.68,0.10
2.975928,-0.11,-1.88,0.13
2.986655,-0.16,-1.96,0.14
2.996990,-0.22,-1.87,0.13
3.006222,-0.29,-1.62,0.12
3.020047,-0.34,-1.28,0.10
3.027452,-0.38,-0.99,0.09
3.037136,-0.37,-0.93,0.10
3.048073,-0.33,-1.14,0.13
3.057939,-0.26,-1.47,0.17
3.068647,-0.19,-1.63,0.18
3.078333,-0.13,-1.45,0.14
3.088170,-0.09,-0.96,0.09
3.098878,-0.10,-0.55,0.04
3.109684,-0.11,-0.34,0.01
3.119960,-0.19,-0.16,0.00
3.130335,-0.33,-0.07,0.00
3.140240,-0.36,-0.08,0.02
3.150181,-0.39,-0.17,0.06
3.160838,-0.39,-0.27,0.11
3.171145,-0.39,-0.35,0.15
3.181866,-0.38,-0.37,0.18
3.191134,-0.37,-0.34,0.19
3.201053,-0.35,-0.27,0.19
3.212013,-0.32,-0.18,0.19
3.221357,-0.28,-0.10,0.19
3.231895,-0.19,-0.05,0.14
3.241995,-0.17,-0.01,0.16
3.252949,-0.16,0.01,0.16
3.263114,-0.14,0.07,0.15
3.273632,-0.15,0.16,0.18
3.283871,-0.11,0.23,0.16
3.293789,-0.09,0.30,0.15
3.303407,-0.08,0.37,0.14
3.314865,-0.07,0.41,0.14
3.324352,-0.07,0.45,0.14
3.334953,-0.07,0.48,0.14
3.345578,-0.07,0.49,0.14
3.355656,-0.07,0.50,0.14
3.365074,-0.06,0.50,0.13
3.375149,-0.05,0.46,0.13
3.386090,-0.03,0.40,0.12
3.397462,-0.01,0.34,0.10
3.406807,0.01,0.30,0.08
3.417410,0.01,0.21,0.05
3.428397,0.04,0.23,0.04
3.437128,0.06,0.23,0.04
3.450587,0.07,0.23,0.04
3.458583,0.08,0.22,0.04
3.468141,0.03,0.22,0.04
3.478802,-0.02,0.28,0.06
3.488503,-0.07,0.23,0.06
3.498843,-0.07,0.15,0.04
3.509415,-0.18,0.09,0.06
3.518774,-0.33,0.02,0.10
3.529942,-0.39,-0.07,0.11
3.539613,-0.44,-0.15,0.11
3.549347,-0.48,-0.22,0.12
3.560288,-0.49,-0.26,0.11
3.570043,-0.48,-0.31,0.11
3.583875,-0.47,-0.37,0.11
3.590997,-0.47,-0.48,0.11
3.601285,-0.48,-0.62,0.11
3.613121,-0.47,-0.72,0.12
3.621954,-0.43,-0.74,0.11
3.631902,-0.36,-0.72,0.10
3.641949,-0.28,-0.75,0.09
3.652302,-0.20,-0.91,0.09
3.662966,-0.10,-1.07,0.09
3.673042,0.02,-1.07,0.06
3.683480,0.14,-0.85,0.02
3.694045,0.23,-0.53,-0.03
3.703922,0.28,-0.23,-0.08
3.715857,0.31,-0.03,-0.12
3.724427,0.34,0.09,-0.15
3.734033,0.36,0.17,-0.17
3.745338,0.39,0.25,-0.19
3.755375,0.41,0.35,-0.19
3.765272,0.39,0.43,-0.17
3.775525,0.35,0.45,-0.14
3.785619,0.29,0.40,-0.11
3.795856,0.23,0.32,-0.08
3.806968,0.15,0.21,-0.05
3.817473,0.13,0.15,-0.03
3.828423,0.11,0.12,-0.02
3.837110,0.06,0.06,-0.01
3.847958,0.03,0.03,-0.01
3.857660,0.08,-0.02,-0.00
3.868026,0.10,-0.05,-0.00
3.878673,0.05,-0.02,-0.00
3.888501,0.03,-0.01,-0.00
3.898391,0.01,-0.01,-0.00
3.908838,0.03,0.06,-0.06
3.919181,0.04,0.09,-0.10
3.928888,0.05,0.15,-0.09
3.940121,0.07,0.25,-0.11
3.950006,0.07,0.28,-0.12
3.961655,0.08,0.30,-0.12
3.970112,0.08,0.32,-0.13
3.980996,0.09,0.31,-0.14
3.991305,0.10,0.29,-0.15
4.000735,0.12,0.26,-0.16
4.011959,0.17,0.21,-0.16
4.021985,0.23,0.16,-0.15
4.032436,0.28,0.10,-0.14
4.042375,0.32,0.04,-0.14
4.052711,0.36,-0.04,-0.13
4.062340,0.36,-0.13,-0.13
4.072604,0.36,-0.24,-0.12
4.083527,0.35,-0.38,-0.10
4.093643,0.33,-0.57,-0.07
4.103486,0.30,-0.84,-0.03
4.113400,0.27,-1.15,0.02
4.123816,0.23,-1.44,0.08
4.134809,0.21,-1.62,0.14
4.146049,0.19,-1.72,0.19
4.154781,0.16,-1.75,0.22
4.164928,0.12,-1.73,0.23
4.176176,0.06,-1.70,0.22
4.185923,0.00,-1.65,0.22
4.195848,-0.06,-1.61,0.22
4.206156,-0.12,-1.56,0.23
4.216376,-0.20,-1.52,0.24
4.226453,-0.27,-1.48,0.25
4.237178,-0.33,-1.43,0.27
4.247485,-0.37,-1.38,0.26
4.257442,-0.38,-1.33,0.25
4.267892,-0.37,-1.27,0.22
4.279616,-0.32,-1.22,0.18
4.288439,-0.25,-1.12,0.12
4.298479,-0.17,-0.91,0.05
4.309601,-0.10,-0.58,0.00
4.319578,-0.09,-0.10,-0.10
4.329354,-0.10,0.34,-0.21
4.339944,-0.09,0.59,-0.21
4.349567,-0.10,0.70,-0.21
4.359755,-0.12,0.72,-0.19
4.370413,-0.15,0.71,-0.17
4.380013,-0.19,0.69,-0.14
4.392177,-0.22,0.65,-0.12
4.400608,-0.25,0.62,-0.09
4.411237,-0.29,0.59,-0.06
4.421998,-0.35,0.59,-0.03
4.432245,-0.41,0.61,-0.01
4.442803,-0.47,0.63,0.01
4.452747,-0.49,0.66,0.03
4.462794,-0.50,0.68,0.04
4.474798,-0.49,0.69,0.05
4.483119,-0.48,0.70,0.05
4.493689,-0.47,0.72,0.04
4.504252,-0.44,0.75,0.02
4.513984,-0.41,0.78,0.02
4.525145,-0.37,0.82,0.02
4.534596,-0.33,0.85,0.02
4.544819,-0.30,0.89,0.03
4.555604,-0.30,0.92,0.02
